Date,Close,High,Low,Open,Volume
2024-01-25,3525.537353515625,3572.448244885673,3496.298888503896,3552.925062591193,2205154
2024-01-29,3516.93212890625,3534.51216322596,3498.288130235622,3516.7471210923645,1646747
2024-01-30,3516.51611328125,3560.2348866740044,3503.9787267378097,3522.9003517362453,1411621
2024-01-31,3530.7646484375,3547.4657255271886,3512.7219823843493,3526.3696400399376,2459358
2024-02-01,3566.10986328125,3613.067060107317,3520.6794891794907,3534.512155183783,2363107
2024-02-02,3669.878662109375,3686.625823288954,3582.626126302747,3585.448229768175,2826510
2024-02-05,3676.355224609375,3721.4155819266507,3665.992302479133,3685.3302493321357,1691523
2024-02-06,3826.895751953125,3839.7568441271724,3691.807072121124,3698.2839266336173,4474396
2024-02-07,3778.2265625,3844.4756189999935,3769.482854466062,3842.625089219488,2124267
2024-02-08,3825.137939453125,3847.2516815117974,3780.6789132023487,3784.333664594337,2345173
2024-02-09,3824.76806640625,3872.0026633870466,3793.586455555742,3827.4047101937194,2100596
2024-02-12,3812.739501953125,3848.7322185445555,3798.7213763754216,3821.3442853665883,1013716
2024-02-13,3839.387451171875,3858.3553853203325,3776.469425703822,3817.1350067037893,1257415
2024-02-14,3793.67919921875,3807.372940800221,3746.8606988444094,3800.063437499442,1391283
2024-02-15,3796.547119140625,3836.425674906847,3777.8565874411574,3819.4935079493257,1091582
2024-02-16,3819.771484375,3837.9533038448403,3793.679281317608,3805.846426237156,1307556
2024-02-19,3797.1025390625,3819.7715328328027,3751.9497852480945,3814.913891310595,772291
2024-02-20,3729.419189453125,3791.7358760164275,3710.3125580346205,3777.024253238986,1193648
2024-02-21,3693.1953125,3759.6756942779607,3683.1100141804095,3713.088510350119,1885939
2024-02-22,3781.650390625,3788.9135847979874,3674.2270417559253,3674.2270417559253,2982052
2024-02-23,3749.266357421875,3821.344409805824,3743.9921662615307,3821.344409805824,2538072
2024-02-26,3702.03173828125,3747.3234168691433,3685.0993428482916,3734.3697062923115,1379284
2024-02-27,3797.65771484375,3815.792999866402,3700.1348706269982,3700.1348706269982,2960475
2024-02-28,3811.120361328125,3844.3833662089555,3783.408494524996,3789.5153337368693,1939225
2024-02-29,3789.052734375,3828.8391287714094,3760.785843874876,3792.661177462347,3772719
2024-03-01,3788.358642578125,3830.5968972344103,3781.37284701895,3800.248387556673,2043265
2024-03-04,3775.72900390625,3810.1488182185494,3771.287686534873,3798.2129895593343,1749271
2024-03-05,3712.256103515625,3760.277270624591,3682.555004204201,3758.4267404717248,2070859
2024-03-06,3760.553955078125,3767.6784492063703,3662.6145808674564,3695.5540997105545,1744204
2024-03-07,3801.54345703125,3815.792446127852,3735.9420401097086,3761.2018170489137,2688905
2024-03-11,3814.265869140625,3842.625148103546,3783.4081942199373,3783.4081942199373,2304068
2024-03-12,3878.942138671875,3913.824809369905,3813.063090933948,3814.2662064898195,4039801
2024-03-13,3838.92431640625,3924.048692667849,3823.102195243199,3890.7391541307015,2837260
2024-03-14,3893.14501953125,3909.244539822552,3780.6327076248394,3843.0420112308407,2919608
2024-03-15,3903.924072265625,3922.1980547097196,3864.831628809271,3879.265852135675,3373143
2024-03-18,3842.16259765625,3936.770936153626,3810.102258391326,3900.222971648527,1526904
2024-03-19,3680.056640625,3754.725483197155,3670.1563500054817,3748.4799442588646,8931209
2024-03-20,3674.134521484375,3717.7145912468923,3664.2342316393506,3688.106112670511,1817913
2024-03-21,3676.031494140625,3708.8320928330704,3652.946177836041,3691.853615815909,3829582
2024-03-22,3618.619140625,3643.693914856103,3566.896912587679,3605.7580462656765,5852485
2024-03-26,3587.71484375,3651.7431331132784,3582.1169456233524,3585.4016813749195,3440925
